	[run number]	density	probability-of-spread	percentage burned
probability-of-spread:				Average:
	97	65	45	12.006264989476800
	98	65	45	20.839441024137600
	99	65	45	25.851898795885500
	100	65	45	7.8572126184197700
50				81.3101585484232
	101	65	50	80.4183998042574
	102	65	50	83.43908629441620
	103	65	50	83.41272749480890
	104	65	50	85.73097991479000
	105	65	50	81.82242073230590
	106	65	50	76.68928020376670
	107	65	50	81.04237557834950
	108	65	50	77.77723221957630
	109	65	50	79.3825017723128
	110	65	50	83.38658146964860
55				91.6429346737408
	111	65	55	92.33978190334460
	112	65	55	90.71141400274560
	113	65	55	92.47414362209350
	114	65	55	91.58300400108000
	115	65	55	90.62492350622970
	116	65	55	91.6572772252976
	117	65	55	91.24338105510880
	118	65	55	92.36573892591140
	119	65	55	91.38444998289600
	120	65	55	92.04523251270030
60				95.6700263409543
	121	65	60	95.86922474549730
	122	65	60	95.94861419203860
	123	65	60	95.7667964946446
	124	65	60	95.39288145482840
	125	65	60	95.75550122249390
	126	65	60	95.65164344452310
	127	65	60	95.52993478101570
	128	65	60	95.94241157634870
	129	65	60	95.05270108336800
	130	65	60	95.7905544147844
65				97.4315196054518
	131	65	65	97.18154929233180
	132	65	65	97.63065689853720
	133	65	65	97.5290344525973
	134	65	65	97.65315304360510
	135	65	65	97.32533953260740
	136	65	65	97.37604361901520
	137	65	65	97.46406820950060
	138	65	65	97.64507372900010
	139	65	65	97.16523139225680
	140	65	65	97.3450458850665
70				98.3876210124319
	141	65	70	98.40037121156620
	142	65	70	98.46014934843090
	143	65	70	98.15099402366140
	144	65	70	98.28155173678160
	145	65	70	98.27954350227020
	146	65	70	98.40473685498280
	147	65	70	98.24724374801380
	148	65	70	98.82741375543200
	149	65	70	98.38972537763620
	150	65	70	98.4344805655439
75				99.133166729311
	151	65	75	99.11448296050550
	152	65	75	99.02284916611570
	153	65	75	99.05860546789260
	154	65	75	99.14206100899490
	155	65	75	99.1570638536312
	156	65	75	99.1596022768915
	157	65	75	99.06861906275210
	158	65	75	99.27379593422870
	159	65	75	99.2444304074245
	160	65	75	99.09015715467330
80				99.4448210545742
	161	65	80	99.34814158856670
	162	65	80	99.53498510499170
	163	65	80	99.54837292190510
	164	65	80	99.47997667185070
	165	65	80	99.3467583497053
	166	65	80	99.53403269090020
	167	65	80	99.45268791048410
	168	65	80	99.43729510202080
	169	65	80	99.34079937265670
	170	65	80	99.42516083266070
85				99.7080573058471
	171	65	85	99.72534883150640
	172	65	85	99.72633533694960
	173	65	85	99.60314561877630
	174	65	85	99.72306636604250
	175	65	85	99.77370610993500
	176	65	85	99.70133176654920
	177	65	85	99.65811965811970
	178	65	85	99.70623515875540
	179	65	85	99.7092597117029
	180	65	85	99.75402450013390
90				99.83394062216000
	181	65	90	99.83920479462070
	182	65	90	99.82728002529980
	183	65	90	99.84830690937560
	184	65	90	99.84114958821090
