	[run number]	density	probability-of-spread	slow-to-burn-ratio	percentage burned
slow-to-burn-ratio:					
0					
probability-of-spread:					Average:
	251	60	20	20	0.6460324604834650
	252	60	20	20	0.6322416803343740
	253	60	20	20	0.6374480916232450
	254	60	20	20	0.6833412484829300
	255	60	20	20	0.573918588585397
	256	60	20	20	0.7684817222412300
	257	60	20	20	0.7322618166437560
	258	60	20	20	0.6823331050108020
	259	60	20	20	0.6456734585869280
	260	60	20	20	0.5875533540601780
25					0.860870200187322
	311	60	25	20	0.7554071246819340
	312	60	25	20	0.8182957059466380
	313	60	25	20	0.9514191559476990
	314	60	25	20	1.02879567269449
	315	60	25	20	0.7753378826903160
	316	60	25	20	0.8877850291965020
	317	60	25	20	0.7568964607837970
	318	60	25	20	0.7340859702125400
	319	60	25	20	0.89250244974708
	320	60	25	20	1.0081765499722200
30					1.31152608618316
	371	60	30	20	1.5091846174177300
	372	60	30	20	1.0089005097324600
	373	60	30	20	1.1737525559656900
	374	60	30	20	1.830072253573120
	375	60	30	20	1.1475755817021100
	376	60	30	20	1.7003664355574300
	377	60	30	20	1.0982322430401200
	378	60	30	20	1.1000316555872100
	379	60	30	20	1.2932513394388900
	380	60	30	20	1.2538936698168000
35					2.0536437050933
	431	60	35	20	1.3003455279191800
	432	60	35	20	1.8594548777580600
	433	60	35	20	1.8887281336314600
	434	60	35	20	1.935192323028260
	435	60	35	20	2.5155074567770900
	436	60	35	20	2.4215389517285300
	437	60	35	20	2.630186282811180
	438	60	35	20	2.1230410842863200
	439	60	35	20	1.661998626010680
	440	60	35	20	2.2004437869822500
40					4.17676682198366
	491	60	40	20	4.778672032193160
	492	60	40	20	2.1038981660359400
	493	60	40	20	4.444679054054050
	494	60	40	20	5.4513218132260700
	495	60	40	20	4.498772342054550
	496	60	40	20	4.162838919656680
	497	60	40	20	4.20971554540384
	498	60	40	20	3.521033542477430
	499	60	40	20	4.125245866780080
	500	60	40	20	4.471490937954760
45					12.2405676690958
	551	60	45	20	25.963246798016500
	552	60	45	20	6.470806008038930
	553	60	45	20	7.534662617192660
	554	60	45	20	10.531475201356500
	555	60	45	20	6.254133707240930
	556	60	45	20	11.635920271416500
	557	60	45	20	6.000265146493440
	558	60	45	20	27.379008899889400
	559	60	45	20	10.144467375773900
	560	60	45	20	10.49169066553940
50					67.7890542848166
	611	60	50	20	22.663952842906600
	612	60	50	20	79.17272366856090
	613	60	50	20	74.08840364638540
	614	60	50	20	66.53586853470980
	615	60	50	20	74.34028516705680
	616	60	50	20	76.17316154190710
	617	60	50	20	75.73384999203780
	618	60	50	20	71.33699150530260
	619	60	50	20	68.44027403833340
	620	60	50	20	69.40503191096580
55					89.1579292901645
	671	60	55	20	89.16036149642710
	672	60	55	20	89.05497645378060
	673	60	55	20	89.77676106334310
	674	60	55	20	88.83439811255730
	675	60	55	20	91.17140966247520
	676	60	55	20	89.31459070971830
	677	60	55	20	87.99692975490970
	678	60	55	20	89.75600719805230
	679	60	55	20	89.03466921119590
	680	60	55	20	87.479189239185
60					93.81418795233020
	731	60	60	20	93.17601362136850
	732	60	60	20	94.69768914213360
	733	60	60	20	93.74801985426130
	734	60	60	20	93.48996314072820
	735	60	60	20	93.30114344838560
	736	60	60	20	94.85358189643790
	737	60	60	20	93.77472191988110
	738	60	60	20	94.36787072243350
	739	60	60	20	93.24801529352420
	740	60	60	20	93.48486048414770
65					96.5616219775672
	791	60	65	20	96.62983425414370
	792	60	65	20	96.24277456647400
	793	60	65	20	96.47361107469650
	794	60	65	20	96.78686277610840
	795	60	65	20	96.49396697713800
	796	60	65	20	96.78647940966440
	797	60	65	20	96.48162833729850
	798	60	65	20	96.32197290431840
	799	60	65	20	96.88172900550280
	800	60	65	20	96.5173604703277
