"BehaviorSpace results (NetLogo 6.3.0)"
"Fire.nlogo"
"Critical density example"
"02/03/2023 01:46:32:253 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-125","125","-125","125"
"[run number]","density","resultants?","probability-of-spread","west-wind-speed","slow-to-burn-ratio","slow-to-burn?","south-wind-speed","burning-neighbors-needed","road?","[step]","((count patches with [pcolor = 11.5] ) / initial-trees) * 100"
"95","48","false","60","10","20","true","0","1","true","33","2.9093190674327984"
"91","46","false","60","10","20","true","0","1","true","92","5.916995773574447"
"96","48","false","60","10","20","true","0","1","false","40","3.0816946020852582"
"93","47","false","60","10","20","true","0","1","true","45","3.7385382955771305"
"94","47","false","60","10","20","true","0","1","false","60","3.4388683058268774"
"92","46","false","60","10","20","true","0","1","false","116","5.229364098338141"
"98","49","false","60","10","20","true","0","1","false","88","9.172404833051838"
"99","50","false","60","10","20","true","0","1","true","79","6.4726783827907415"
"97","49","false","60","10","20","true","0","1","true","98","7.915899622129638"
"105","53","false","60","10","20","true","0","1","true","104","10.22493669000447"
"104","52","false","60","10","20","true","0","1","false","160","11.331739903168476"
"102","51","false","60","10","20","true","0","1","false","187","22.48275435394562"
"103","52","false","60","10","20","true","0","1","true","235","18.277394636015327"
"101","51","false","60","10","20","true","0","1","true","287","21.171030431794037"
"100","50","false","60","10","20","true","0","1","false","409","26.70671936758893"
"108","54","false","60","10","20","true","0","1","false","458","77.33403398143282"
"112","56","false","60","10","20","true","0","1","false","376","86.18253743995479"
"111","56","false","60","10","20","true","0","1","true","377","86.54861758310034"
"107","54","false","60","10","20","true","0","1","true","469","59.63494824993365"
"106","53","false","60","10","20","true","0","1","false","417","54.581804076030195"
"114","57","false","60","10","20","true","0","1","false","332","90.44853268119164"
"110","55","false","60","10","20","true","0","1","false","516","79.27398093692963"
"113","57","false","60","10","20","true","0","1","true","434","88.1912426300053"
"109","55","false","60","10","20","true","0","1","true","625","77.90547335152995"
"118","59","false","60","10","20","true","0","1","false","309","92.50492033107763"
"116","58","false","60","10","20","true","0","1","false","325","91.57625689969274"
"115","58","false","60","10","20","true","0","1","true","399","89.8692183258849"
"120","60","false","60","10","20","true","0","1","false","285","94.72451718149766"
"117","59","false","60","10","20","true","0","1","true","362","91.14337372156407"
"119","60","false","60","10","20","true","0","1","true","366","95.33529240462765"
"122","61","false","60","10","20","true","0","1","false","294","94.55533031862363"
"124","62","false","60","10","20","true","0","1","false","294","94.93394335064"
"121","61","false","60","10","20","true","0","1","true","373","94.13784067085955"
"123","62","false","60","10","20","true","0","1","true","336","94.52182226930928"
"125","63","false","60","10","20","true","0","1","true","334","96.39905251486745"
"128","64","false","60","10","20","true","0","1","false","274","96.51444686324956"
"126","63","false","60","10","20","true","0","1","false","293","96.5010409089769"
"129","65","false","60","10","20","true","0","1","true","317","97.5070807696064"
"130","65","false","60","10","20","true","0","1","false","275","97.56162980663724"
"127","64","false","60","10","20","true","0","1","true","338","96.78215969467934"
"132","66","false","60","10","20","true","0","1","false","269","97.5604459244245"
"131","66","false","60","10","20","true","0","1","true","314","97.86129667900227"
"134","67","false","60","10","20","true","0","1","false","282","97.94950811899965"
"133","67","false","60","10","20","true","0","1","true","310","97.83645818424694"
"135","68","false","60","10","20","true","0","1","true","302","98.24398185835562"
"136","68","false","60","10","20","true","0","1","false","270","98.3461860076187"
"138","69","false","60","10","20","true","0","1","false","267","98.36201725649425"
"139","70","false","60","10","20","true","0","1","true","313","98.39143926257186"
"137","69","false","60","10","20","true","0","1","true","313","98.40067919506207"
"140","70","false","60","10","20","true","0","1","false","260","98.64082500339228"
"141","71","false","60","10","20","true","0","1","true","308","98.93048128342245"
"142","71","false","60","10","20","true","0","1","false","264","98.86721630136068"
"143","72","false","60","10","20","true","0","1","true","299","98.8936829295276"
"144","72","false","60","10","20","true","0","1","false","262","99.05113686631867"
"145","73","false","60","10","20","true","0","1","true","296","99.14680981059614"
"146","73","false","60","10","20","true","0","1","false","257","99.0970850606646"
"148","74","false","60","10","20","true","0","1","false","258","99.23227037807467"
"147","74","false","60","10","20","true","0","1","true","303","99.179747052887"
"149","75","false","60","10","20","true","0","1","true","295","99.31637317981713"
"150","75","false","60","10","20","true","0","1","false","257","99.28762243989314"
"152","76","false","60","10","20","true","0","1","false","257","99.40765237776289"
"151","76","false","60","10","20","true","0","1","true","288","99.30285140057782"
"153","77","false","60","10","20","true","0","1","true","288","99.42919777469858"
"155","78","false","60","10","20","true","0","1","true","291","99.5190241306617"
"154","77","false","60","10","20","true","0","1","false","258","99.42268973168427"
"156","78","false","60","10","20","true","0","1","false","255","99.50417270297292"
"158","79","false","60","10","20","true","0","1","false","256","99.6037333547894"
"157","79","false","60","10","20","true","0","1","true","300","99.49756855465203"
"160","80","false","60","10","20","true","0","1","false","254","99.68927504106715"
"162","81","false","60","10","20","true","0","1","false","256","99.61266982560312"
"161","81","false","60","10","20","true","0","1","true","283","99.62024820890264"
"159","80","false","60","10","20","true","0","1","true","288","99.59939410850241"
"164","82","false","60","10","20","true","0","1","false","255","99.75202448758185"
"166","83","false","60","10","20","true","0","1","false","254","99.7036612178568"
"163","82","false","60","10","20","true","0","1","true","282","99.66424065987385"
"165","83","false","60","10","20","true","0","1","true","285","99.76077012880137"
"168","84","false","60","10","20","true","0","1","false","256","99.74124091037869"
"167","84","false","60","10","20","true","0","1","true","283","99.74071200105986"
"170","85","false","60","10","20","true","0","1","false","254","99.76493414424836"
"172","86","false","60","10","20","true","0","1","false","254","99.83401877432087"
"169","85","false","60","10","20","true","0","1","true","283","99.79988404496063"
"171","86","false","60","10","20","true","0","1","true","282","99.77039163040459"
"173","87","false","60","10","20","true","0","1","true","279","99.8168900607925"
"174","87","false","60","10","20","true","0","1","false","253","99.85422474899323"
"175","88","false","60","10","20","true","0","1","true","283","99.85201494288137"
"176","88","false","60","10","20","true","0","1","false","254","99.85203897509925"
"177","89","false","60","10","20","true","0","1","true","278","99.86565158978952"
"179","90","false","60","10","20","true","0","1","true","276","99.88856657704825"
"178","89","false","60","10","20","true","0","1","false","253","99.87706451440484"
"180","90","false","60","10","20","true","0","1","false","255","99.8889456891537"
"182","91","false","60","10","20","true","0","1","false","253","99.89526968057253"
"181","91","false","60","10","20","true","0","1","true","275","99.89688379327822"
"183","92","false","60","10","20","true","0","1","true","274","99.90690778699123"
"184","92","false","60","10","20","true","0","1","false","253","99.91179980284663"
"185","93","false","60","10","20","true","0","1","true","277","99.92643662429644"
"186","93","false","60","10","20","true","0","1","false","253","99.91640507711205"
"188","94","false","60","10","20","true","0","1","false","254","99.93917172160924"
"187","94","false","60","10","20","true","0","1","true","274","99.92725919409953"
